Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R00021_c	2 C00025_c + 2 C00139_c  <=> C00026_c + C00064_c + 2 C00080_c + 2 C00138_c 	PBANKA_1014100	-50.00	 50.00	  0.00
R00086_c	C00001_c + C00002_c  -> C00008_c + C00009_c + C00080_c 	PBANKA_0312700 or PBANKA_0710800 or PBANKA_0942700 or PBANKA_0609800 or PBANKA_1014800 or PBANKA_0514100 or PBANKA_0818600 or PBANKA_1140200 or PBANKA_1446300 or PBANKA_1024100 or PBANKA_1444500 or PBANKA_1344100 or PBANKA_0908500 or PBANKA_0416500	  0.00	 50.00	  0.00
R00093_c	C00003_c + 2 C00025_c  <=> C00004_c + C00026_c + C00064_c + C00080_c 	PBANKA_1009500	-50.00	 50.00	  0.00
R00094_c	C00003_c + 2 C00051_c  <=> C00004_c + C00080_c + C00127_c 	PBANKA_1023400 or PBANKA_0824700	-50.00	 50.00	  0.00
R00100_c	C00004_c + 2 C00996_c  <=> C00003_c + C00080_c + 2 C00999_c 	PBANKA_1143400	-50.00	 50.00	  0.00
R00112_c	C00003_c + C00005_c  <=> C00004_c + C00006_c 	PBANKA_1317200	-50.00	 50.00	  0.00
R00114_c	C00006_c + 2 C00025_c  <=> C00005_c + C00026_c + C00064_c + C00080_c 	PBANKA_1009500	-50.00	 50.00	  0.00
R00115_c	C00005_c + C00080_c + C00127_c  <=> C00006_c + 2 C00051_c 	PBANKA_1023400 or PBANKA_0824700	-50.00	 50.00	  0.00
R00127_c	C00002_c + C00020_c  <=> 2 C00008_c 	PBANKA_1207200 or PBANKA_0202800	-50.00	 50.00	  0.00
R00130_c	C00002_c + C00882_c  -> C00008_c + C00010_c 	PBANKA_1307600	  0.00	 50.00	  0.00
R00149_c	C00001_c + 2 C00002_c + C00011_c + C00014_c  -> 2 C00008_c + C00009_c + 2 C00080_c + C00169_c 	PBANKA_1406700	  0.00	 50.00	  0.00
R00156_c	C00002_c + C00015_c  <=> C00008_c + C00075_c 	PBANKA_1142400 or PBANKA_0104400	-50.00	 50.00	  0.00
R00158_c	C00002_c + C00105_c  <=> C00008_c + C00015_c 	PBANKA_0202300	-50.00	 50.00	  0.00
R00161_c	C00002_c + C00061_c  -> C00013_c + C00016_c 	PBANKA_1213400	  0.00	 50.00	  0.00
R00177_c	C00009_c + C00013_c + C00019_c  <=> C00001_c + C00002_c + C00073_c 	PBANKA_0823100	-50.00	  0.00	  0.00
R00181_c	C00001_c + C00020_c + C00080_c  -> C00014_c + C00130_c 	PBANKA_1344400	  0.00	 50.00	  0.00
R00190_c	C00013_c + C00020_c  <=> C00119_c + C00147_c 	PBANKA_1210800	-50.00	 50.00	  0.00
R00191_c	C00001_c + C00575_c  -> C00020_c 	PBANKA_1419800 or PBANKA_1419900 or PBANKA_0607900 or PBANKA_1333700	  0.00	 50.00	  0.00
R00192_c	C00001_c + C00021_c  -> C00155_c + C00212_c 	PBANKA_1235600	  0.00	 50.00	  0.00
R00200_c	C00002_c + C00022_c  <=> C00008_c + C00074_c 	PBANKA_1125600	-50.00	  0.00	  0.00
R00229_c	C00002_c + C00010_c + C00033_c  -> C00008_c + C00009_c + C00024_c 	PBANKA_0611100	  0.00	 50.00	  0.00
R00235_c	C00002_c + C00010_c + C00033_c + C00080_c  -> C00013_c + C00020_c + C00024_c 	PBANKA_1126500	  0.00	 50.00	  0.00
